LOs,Sub-Topic,Topic,Subject,Type,Module,Assessment
Describe natural and synthetic derivatives of purines and pyramidines and their biomedical role,Natural and synthetic derivatives of purines and pyrimidines 1,Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
"Describe structure, function and types of nucleic acids (excluding metabolism)",Natural and synthetic derivatives of purines and pyrimidines 2,Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
"Define cell cycles, enlist various stages of cell cycle and factors affecting them. Define various types of growth and give their mechanism",Cell cycle,Cell and Genetics,Histology,Major Subject,Foundation-1 Module,MCQS
Classify lipids and enumerate their general biological functions,Lipids and Fatty acids,Cell and Genetics,Biochemistry,Major Subject,Foundation-1 Module,MCQS
"Define the following terms:
• Etiology
• Pathogenesis
• Morphology
Describe the cellular response of a normal cell to stress and noxious stimuli.
Describe the various causes of cell injury:
• Oxygen deprivation
• Physical agents
• Chemical agents
• Drugs
• Infectious agents
• Immunological reactions
• Genetic abnormalities
• Nutritional imbalances
• The progression of cell injury and death
Define briefly different type of cellular adaptations.
Define necrosis and apoptosis.
Differentiate between apoptosis and necrosis",Cell injury and Cell death,Cell and Genetics,Pathology,Minor Subject,Foundation-1 Module,MCQS
Describe the significance of HH equation Significance of ion trapping,Henderson-Hesselbalch Equation,Cell and Genetics,Pharmacology,Minor Subject,Foundation-1 Module,MCQS
Explain how drugs are transported across cell membranes and factors affecting it,Transmembrane drug Transport,Cell and Genetics,Pharmacology,Minor Subject,Foundation-1 Module,MCQS
Discuss events of mitosis,Mitosis,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe meiosis
Enlist the differences between
mitosis and meiosis.
Describe the structural
abnormalities in chromosomes like: 
Aneuploid
Trisomy
Nondisjunction
Translocation
Co-relate the structural abnormalities with clinical conditions like Downs Syndrome, Klinefelter’s Syndrome, Turner syndrome",Meiosis,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the events of spermatogenesis.
Describe the events of spermiogenesis.
Describe the Morphological changes during Maturation of the Gametes.
Enlist the differences between spermiogenesis and spermatogenesis. 
Describe the relationship of sub-fertility with production of abnormal sperms Define the following terms:
Azoospermia
Oligospermia",Spermatogenesis,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the maturation of Oocytes before birth and Oocytes at Puberty.
Describe the relation of ovarian cycle with maturation of follicles.",Oogenesis,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe carbohydrates and give their Biochemical importance.
Classify Carbohydrates. Explain carbohydrate and its biochemical structure.
Describe the different isomers of monosaccharides. e.g. Galactose, mannose, fructose, dextrose.
Describe the role of dextrose in I/V infusion.
Describe the role of mannitol in cerebral edema",Carbohydrates 1,Growth and Development,Biochemistry,Major Subject,Foundation-1 Module,MCQS
Describe the structure of disaccharides and oligosaccharides.,Carbohydrates 2,Growth and Development,Biochemistry,Major Subject,Foundation-1 Module,MCQS
"Relate the structure of polysaccharides with its clinical importance.
List the functions of carbohydrates in cell membrane, energy provision and nutrition supply to different parts of body.",Carbohydrates 3,Growth and Development,Biochemistry,Major Subject,Foundation-1 Module,MCQS
"Define Monosaccharide’s and describe their structure and types.
Perform the sequence of tests to identify the monosaccharides in a given solution",Detection of monosaccharides,Growth and Development,Biochemistry,Major Subject,Foundation-1 Module,OSPE
"Define reducing sugars, types.
Discuss structure and types of reducing sugars.
Perform Benedicts test",Detection of reducing and non-reducing sugars,Growth and Development,Biochemistry,Major Subject,Foundation-1 Module,OSPE
"Define Polysaccharides.
Discuss structures and types
of Polysaccharides. Perform the sequence of tests to identify the polysaccharides in a given solution.",Detection of Polysaccharides in a given solution,Growth and Development,Biochemistry,Major Subject,Foundation-1 Module,OSPE
"Describe the stages of follicular maturation, primary, Preantral, secondary and preovulatory. Describe the structure and formation of corpus luteum and corpus albicans.
Describe the mechanism of ovulation and transport through fallopian tubes.
Describe the middle pain (mittelschmerz) associated with ovulation.",First week of development 1,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Explain the processes of Passage of spermatozoa through the corona radiata
barrier; penetration of spermatozoa
through the zona pellucida; penetration of the spermatozoa through the oocyte membrane.
Explain the acrosome reaction
and capacitation reaction.",Fertilization,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Explain the restoration of the diploid number of chromosomes, determination of the sex and initiation of cleavage as a result of fertilization.
Explain the terms like IVF and assisted IVF.",Fertilization,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the sequential phases of human development during first week Describe the changes in uterus at time of implantation.
Explain the process of cleavage.
Explain the formation of morula and blastula.
Describe the formation of inner and outer cell mas within the blastocyst cavity. 
Describe the mechanism of abnormal implantation. Define ectopic pregnancy.
Explain pluripotent and multipotent cells, abnormal zygotes, PCR for genetic defects.",First week of development 2,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the sequential phases of human development during second week. Explain why the second week is known as week of two’s
Explain the formation of syncytiotrophoblast and cytotrophoblast. Explain the characteristics of growth of syncytiotrophoblast",Second week of development,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Explain the establishment of uteroplacental circulation.
Describe the mechanism of transformation of connecting stalk into umbilical cord. Explain the gastrulation, formation of ectoderm and endoderm and amniotic cavity
Explain the formation of chorion, secondary yolk sac and chorionic plate.
Explain the clinical relevance of production of βhcg by the syncytiotrophoblast and pregnancy test.",Development of Uteroplacental circulation and Chorion,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the sequential phases of human development during 3rd to 8th weeks.
Describe the formation of neural tube and gastrulation.
Enumerate the derivatives of ectoderm, mesoderm and endoderm.",Third week of Development 1,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the formation of notochord from prechordal plate.
Describe the formation of paraxial, lateral plate and intermediate mesoderm.
Describe the involvement of germ disc layers in teratogenesis associated with gastrulation like Situs inversus and caudal dysgenesis.",Third week of Development 2,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the mechanism of folding of embryo.
Describe the formation of primary and secondary villus.
Describe the formation of somite.
Describe them mechanism of estimation of the age of embryo at this stage of development.",4th-8th week of development 1,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the process of neurulation.
Corelate the process of neurulation with closure of caudal and cranial neuropore.
Describe the process of separation of neural crest cells from neural tube.
Enumerate the derivatives of neural crest cells.
Describe the malformations associated with non-closure of cranial and caudal neuropore.",4th-8th week of development 2,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Explain terms like crown rump length & CHLs. Describe the external appearance of fetus during third to ninth month. Determine the time of birth from LNMP
Explain the estimation of the age of embryo from BPD.
Explain the clinical relevance of (IUGR)variation in fetal length and weight, with chromosomal abnormalities, teratogens; congenital infections.",Fetal Period,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Define monozygotic and dizygotic twins.
Explain the arrangement of fetal membranes in mono and dizygotic twins.
Explain terms like vanishing twins and twin transfusion syndrome.
Explain the role of partial splitting of primitive node and streak in development of congenital anomalies like:
Craniopagus
Pyopagus
Thoracopagus
Describe the development of oligohydramnios and polyhydramnios with special reference to formation and swallowing of amniotic fluid by the fetus.",Twin pregnancy,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the changes in the trophoblast with emphasis on formation
of intervillous spaces. Explain the formation of decidua basalis and chorionic frondosum. Differentiate between decidua parietalis and decidua capsularis. Describe the characteristics of fetal and maternal portion of placenta.",Placental Development 1,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
Describe the features of full term placenta. Describe the significance of placental barrier. Describe hemolytic disease of new born in relation to placental barrier. Describe the malformations of placental development.,Placental Development 2,Growth and Development,Embryology,Major Subject,Foundation-1 Module,MCQS
"Define health
Describe the
Determinants of Health",Determination of Health,Growth and Development,Community Medicine,Minor Subject,Foundation-1 Module,MCQS
"Describe Spectrum of Disease
Explain Natural History of disease
Explain Theories of disease Causation.
Differentiate between Disease Elimination and Eradication.",Disease Causation,Growth and Development,Community Medicine,Minor Subject,Foundation-1 Module,MCQS
Describe reservoirs of infection & chain of infection,Chain of Infection,Growth and Development,Community Medicine,Minor Subject,Foundation-1 Module,MCQS
Discuss /describe Levels of Prevention,Levels of Prevention,Growth and Development,Community Medicine,Minor Subject,Foundation-1 Module,MCQS
"Classify the body tissues into 4 main categories. Classify epithelium.
Explain the histological structure of simple epithelium. Enumerate examples of each type of simple epithelium. Relate location of each type with its function.",Simple Epithelium,"Human body tissues, Bones and Joints ",Histology,Major Subject,Foundation-1 Module,MCQS
"Classify stratified epithelium.
Explain the histological structure of stratified epithelium. Enumerate examples of each type of stratified epithelium. Relate location of each type with its function.","Stratified Epithelium ","Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,MCQS
"Describe the general features of bone. Describe the blood supply of long bones. ",General Anatomy of Bones-1,"Human body tissues, Bones and Joints",Anatomy,Major Subject,Foundation-1 Module,MCQS
"Classify bones according to Development, Gross appearance, Shape and size, and Ossification.",General Anatomy of Bones-2,"Human body tissues, Bones and Joints",Anatomy,Major Subject,Foundation-1 Module,MCQS
"Identify types of epithelial tissue under microscope. Simple squamous, Simple cuboidal, Simple columnar. Enlist two points of identification for each type.",Simple Epithelium,"Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,OSPE
"Identify types of epithelial tissue under microscope. Stratified squamous, Stratified cuboidal, Stratified columnar. Enlist two points of identification for each type.","Stratified Epithelium ","Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,OSPE
"Classify muscles with examples according to Shape and Histology. Describe the general features of skeletal muscle. Describe the blood supply and nerve supply of muscle.
Explain the actions of Prime mover or agonist, Fixators, A synergist, An antagonist with examples. Describe the anatomical structures of the muscle tissue (atrophy) involved in atrophy of a limb.","General Anatomy of Muscle ","Human body tissues, Bones and Joints",Anatomy,Major Subject,Foundation-1 Module,MCQS
Describe the structure and function of GAGS and its clinical importance.,Structure and Function of GAGS,"Human body tissues, Bones and Joints",Biochemistry,Major Subject,Foundation-1 Module,MCQS
Explain the components of connective tissue. Classify the connective tissue with examples.,Connective tissue-1,"Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,MCQS
"Explain the types of loose CT & Dense CT.
Classify and describe Embryonic CT",Connective tissues-2,"Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,MCQS
"Identify loose connective tissue. List two points of identification
for each slide",Connective tissues-3,"Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,OSPE
"Identify dense connective tissue under microscope.
List two points of identification for each slide",Connective tissues-4,"Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,OSPE
"Classify joints giving examples according to Structure, Function and Movements.
Describe the components of joints along with their clinical importance.",General Anatomy of Joints,"Human body tissues, Bones and Joints",Anatomy,Major Subject,Foundation-1 Module,MCQS
"Describe the components of synovial joints.
Classify synovial joints with examples.",Synovial Joints,"Human body tissues, Bones and Joints",Anatomy,Major Subject,Foundation-1 Module,MCQS
"Classify nervous tissue.
Describe the structure of typical spinal nerve.",General Anatomy of nervous tissue,"Human body tissues, Bones and Joints",Anatomy,Major Subject,Foundation-1 Module,MCQS
"Classify blood vessels.
Classify types of circulation.
Describe types of Anastomosis.","General Anatomy of blood vessels ","Human body tissues, Bones and Joints",Anatomy,Major Subject,Foundation-1 Module,MCQS
"Define Superficial Fascia &Deep Fascia.
Describe involvement of skin structures in conditions like Paronychia, Boils and Sebaceous cyst
Describe the importance of cleavage lines and wound healing.
Enlist the structures involved in first, second and third degrees of burns.
Describe the skin lines.",Fascia and Skin,"Human body tissues, Bones and Joints",Anatomy,Major Subject,Foundation-1 Module,MCQS
"Describe the structure of skin and differentiate between thick and thin skin.
Describe the layers and gross structures present in epidermis and dermis of skin.",Skin,"Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,MCQS
"Describe the development of integumentary system, Skin and associated structures (Hair, nails, glands).
Describe the anomalies of development Hypertrichosis, Atrichia and Ichthyosis.
Explain the relation of dermal appendages and finger prints.",Development of Skin,"Human body tissues, Bones and Joints",Embryology,Major Subject,Foundation-1 Module,MCQS
"Describe the histological structure of dermal appendages; Hair and Nails
Describe the histological features of glands associated with skin; Sweat glands and Sebaceous glands
Describe the histological changes in skin layers in skin diseases like psoriasis","Skin Appendages ","Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,MCQS
"Identify thick and thin skin.
Identify skin appendages.
Draw and label histological features of the skin.",Skin,"Human body tissues, Bones and Joints",Histology,Major Subject,Foundation-1 Module,
Describe normal body temperature and their control mechanisms. Explain role of hypothalamus in regulation of body temperature.,"Body Temperature regulation ","Human body tissues, Bones and Joints",Physiology,Major Subject,Foundation-1 Module,MCQS
"Discuss abnormalities of body temperature regulation.
Mechanism of Action of pyrogens in causing Fever and Chills. Explain Crisis or flush, Heat stroke, Frostbite and Artificial hypothermia.","Abnormalities in Body Temperatures ","Human body tissues, Bones and Joints",Physiology,Major Subject,Foundation-1 Module,MCQS
Record core body temperature,"Recording of Body Temperature ","Human body tissues, Bones and Joints",Physiology,Major Subject,Foundation-1 Module,MCQS
"Describe acute inflammation.
Describe vascular events of acute inflammation.
Describe chronic inflammation.
Differentiate between acute and chronic inflammation.",Inflammation,"Human body tissues, Bones and Joints",Pathology,Minor Subject,Foundation-1 Module,MCQS
"Define death.
Describe stages of death.
Describe medico legal importance of stages of death.",Death,"Human body tissues, Bones and Joints",Forensic Medicine,Minor Subject,Foundation-1 Module,MCQS
"Describe the composition of blood.
Discuss general functions of blood.
Enlist the components of plasma.
Explain the difference between Serum and plasma.",Composition and Function of blood,Anemias,Physiology,Major Subject,Blood-1 Module,MCQS
"Describe the structure, function, life span and normal count of Red Blood Cells.
Define hemopoiesis and Classify
hematopoietic stem cells
Describe the erythropoiesis & factors affecting it. 
Explain the role of Erythropoietin in RBC production.",Red blood cells and Erythropoieces,Anemias,Physiology,Major Subject,Blood-1 Module,MCQS
"Describe functions of hemoglobin & its different types.
Describe role of iron & various elements in Hemoglobin synthesis",Hemoglobin,Anemias,Physiology,Major Subject,Blood-1 Module,MCQS
"Explain the hemoglobinopathies.
Discuss iron storage diseases",Hemoglobinopathies,Anemias,Physiology,Major Subject,Blood-1 Module,MCQS
"Classify anemia. Explain its types and clinical interpretation.
Discuss effects of anemia on body.
Define and classify polycythemia.
Differentiate between primary and secondary Polycythemia",Anemias and Polycthemias,Anemias,Physiology,Major Subject,Blood-1 Module,MCQS
"Describe various red cell indices.
Describe blood indices in various disorders.",Blood Indices,Anemias,Physiology,Major Subject,Blood-1 Module,MCQS
Perform the steps to determine the Hb levels in each blood sample.,Estimation of Hb,Anemias,Physiology,Major Subject,Blood-1 Module,OSPE
"Perform the steps to calculate the hematocrit in the given blood sample.
Interpret its clinical importance.",Hematocrit or PCV,Anemias,Physiology,Major Subject,Blood-1 Module,OSPE
"Describe the counting chamber and the
dimensions of different squares on the counting grid.
Charge the counting chamber.
Focus the counting grid for RBC and WBC.",Neubauer Chamber,Anemias,Physiology,Major Subject,Blood-1 Module,OSPE
"Perform the steps to measure the osmotic fragility of RBC.
Interpret the clinical importance of this test.",Measurement of Osmotic fragility of RBC,Anemias,Physiology,Major Subject,Blood-1 Module,OSPE
"Describe important hemoproteins found in body along with their principal biologic functions, structure and function of hemoglobin and myoglobin, and types of hemoglobin",Functions and Structure of Hemoproteins,Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
Describe the Biochemical features of the hemoglobin molecules. Describe the concept of Oxygen binding with hemoglobin. Describe the normal picture of blood chemistry.,Heme Chemistry,Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Describe Heme Synthesis on cellular and molecular level.
Describe the Regulation of Heme Synthesis.","Heme Synthesis ",Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Describe Heme Degradation.
Describe the Regulation of Heme Degradation.","Heme Degradation ",Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Define Porphyrins. Describe Chemistry of Porphyrins. Enlist the types, metabolic causes and clinical presentation of different types of Porphyria.",Introduction to Porphyrins,Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Describe Bilirubin Metabolism.
Degradation of heme, synthesis, hepatic uptake conjugation, and excretion of bilirubin and fate of bilirubin in intestine.",Bilirubins and associated diseases-1,Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Define and explain Hyperbilirubinemias.
Causes of hyperbilirubinemias along with the acquired and congenital disorders leading to hyperbilirubinemias. Explain jaundice and kernicterus.",Bilirubins and associated diseases-2,Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Define Hemoglobinopathies and enlist the variants of hemoglobin.
Describe causes of hemoglobinopathies.
Describe two major categories of hemoglobinopathies.
Describe the amino acid substitution in sickle cell disease.",Hemoglobinopathies-1,Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Define thalassemia’s. Classify thalassemia’s.
Explain the genetic defects in α and β thalassemia’s.
Enlist the clinical features of α and β thalassemia’s.",Hemoglobinopathies-2 (Thalassemia),Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Detect qualitative presence of blood in urine through dipstick and Rothera’s test.
Discuss clinical implementation of hematuria.",Abnormal constituents of Urine (Hematuria),Anemias,Biochemistry,Major Subject,Blood-1 Module,OSPE
"Describe the iron metabolism (sources,
absorption, transport, storage, Biochemical functions).
Memorize the RDA of iron in different propositions.",Iron Metabolism,Anemias,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Define anemia and Classification of
anemia according to underlying mechanism; Blood loss, Increased red
cell reduction, Decreased red
cell production.",Classification of Anemia according to underlying mechanism,Anemias,Pathology,Minor Subject,Blood-1 Module,MCQS
"Briefly discuss megaloblastic anemia,
anemia of folate deficiency, iron deficiency anemia and anemia of chronic inflammation.",Pathophysiology of Anemias,Anemias,Pathology,Minor Subject,Blood-1 Module,MCQS
"Enlist the drugs used in the treatment of iron deficiency.
Describe the pharmacological basis/ role of iron in iron deficiency anemia (hypochromic normocytic anemia).
Describe the role of Erythropoietin in the treatment of Anemia (normochromic
normocytic anemia).",Drug treatments of iron deficiency anemias and Role of Erythroproteins in anemias,Anemias,Pharmacology,Minor Subject,Blood-1 Module,MCQS
"Describe Epidemiology of Iron Deficiency Anemia.
Describe prevention of different types of anemia’s in community.","Epidemiology of bone diseases ",Anemias,Community Medicine,Minor Subject,Blood-1 Module,MCQS
"Classify white blood cells.
Describe the structure, function, life span and normal count of White Blood Cells.
Describe the stages of differentiation of white blood cells (leukopoiesis).
Describe the general characteristics of
leucocytes.
Define granulocytes and agranulocytes.",White blood cells,Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
Explain the steps involved in mechanism of action of neutrophils and monocytes against infection.,"Neutrophils and Monocytes’ role in infection ",Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
"Explain leukocytosis.
Discuss pathophysiology of leukemias.",Leukocytosis,Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
Perform the steps to determine the normal TLC count in blood sample by Neubauer chamber,"WBC Count ",Infection and Immunity,Physiology,Major Subject,Blood-1 Module,OSPE
"Perform the steps to determine the normal DLC count in blood sample by Neubauer chamber.
Identify different blood cells in a film and indicate the identifying features of each type of leucocyte.
Express results in their percentages and absolute numbers","DLC Count ",Infection and Immunity,Physiology,Major Subject,Blood-1 Module,OSPE
"Enlist the components of Reticuloendothelial system. Describe the functions of Reticuloendothelial system.
Describe the role of monocyte-macrophage system in immunity.
Explain the role of neutrophils, macrophages, basophils, eosinophils and monocytes in providing immunity against infections (immune system).",Reticuloendothelial System,Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
"Define inflammation.
Describe characteristics of inflammation (hallmark of inflammation).
Describe the causes, sequence of events and cardinal signs of inflammation.",Inflammation,Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
"Describe the functions of immune system. Describe the structure and function of lymphatic system.
Classify cells of immune system with respect to their origin.
Enlist the innate defenses.
Describe the basic types of Acquired immunity: Humoral and Cell mediated.
Compare the characteristics of innate and acquired immunity.
Compare the active and passive immunity mechanism.","Immunity ",Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
"Enumerate the major lymphoid organs. Describe the location and Anatomy of major lymphoid organs in relation to their function.
Describe the components of lymphoid tissue and a lymphoid nodule.
Discuss the MALT, GALT and their role in immunity. Describe the histological features of thymus
Discuss the role of thymus in terminal differentiation and selection of T lymphocytes.",Histology of Lymphoid Tissues-1,Infection and Immunity,Histology,Major Subject,Blood-1 Module,MCQS
"Discuss the role of lymph node in facilitating the interaction of afferent lymph and lymphocytes.
Describe the histological features of spleen and the role of spleen in facilitating intimate contact between blood and lymphocytes.
Describe the histological features of tonsil.",Histology of Lymphoid Tissues-2,Infection and Immunity,Histology,Major Subject,Blood-1 Module,MCQS
"Identify lymphatic nodule in lymph
node. Identify thymic lobule.
Histological Diagram of Lymph Node and Thymus.",Lymphoid System-1,Infection and Immunity,Histology,Major Subject,Blood-1 Module,OSPE
"Identify lymphatic nodule in Spleen and Palatine Tonsil.
Identify Red and White Pulp in Spleen.
Histological Diagram of Palatine Tonsil and Spleen.",Lymphoid System-2,Infection and Immunity,Histology,Major Subject,Blood-1 Module,OSPE
"Describe the role of lymphocytes in development of immunity.
Describe the role of Helper T-cells in overall regulation of immunity.
Explain the mechanism of action of cytotoxic T cells.
Explain mechanism of action of suppressor T-cells.",Role of Lymphocytes in Immunity-1,Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
"Describe the specific contribution of B lymphocytes in humoral immunity and antibody formation.
Differentiate between humoral and cell mediated immunity.",Role of Lymphocytes in Immunity-2,Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
"Explain the functions of complement system.
Explain how the complement system elicits the inflammatory response, lyses foreign cells, and increases phagocytosis.
Discuss, draw and compare classical and alternate pathways.","Complement System ",Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
Describe pathophysiology of autoimmune diseases.,"Autoimmune diseases ",Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
"Discuss the pathophysiology of allergies.
Define and classify the hypersensitivity reaction. Compare the immediate and delayed hypersensitivity reactions. List the diseases associated with hypersensitivity reactions.",Allergy and Hypersensitivity reactions,Infection and Immunity,Physiology,Major Subject,Blood-1 Module,MCQS
"Define Immunoglobulins. Describe Types of Immunoglobulins.
Describe Structure of Immunoglobulins.","Immunoglobulins ",Infection and Immunity,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Describe the mechanism of action of antibodies.
Explain Biochemical role of each immunoglobulin in immunity.",Immunoglobulin Antibodies,Infection and Immunity,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Illustrate sources, chemistry and mechanism of action of vitamin Cobalamin and their Biochemical functions in body.
Define Disorders associated with vitamin Cobalamin deficiency and hypervitaminoses.",Vitamin Cobalamin,Infection and Immunity,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Illustrate sources, chemistry and mechanism of action of vitamin folic acid and their Biochemical functions in body.
Define Disorders associated with vitamin folic acid deficiency and hypervitaminoses.",Vitamin Folic Acid,Infection and Immunity,Biochemistry,Major Subject,Blood-1 Module,MCQS
"Define vaccine and immunization.
Explain the expanded program of immunization (EPI) in Pakistan.",Vaccinology,Infection and Immunity,Community Medicine,Minor Subject,Blood-1 Module,MCQS
"Describe the structure, function, life span and normal count of Platelets. Describe the sequence of events involved in hemostasis.
Describe the role of platelet in coagulation.",Hemostasis,Bleeding Disorders and Transfusion Reactions,Physiology,Major Subject,Blood-1 Module,MCQS
"Perform the steps to determine the
normal Platelet count in the blood sample by Neubauer chamber.",Platelet Count,Bleeding Disorders and Transfusion Reactions,Physiology,Major Subject,Blood-1 Module,MCQS
"Enlist the clotting factors of the body.
Outline the sequence of processes during blood coagulation.
Explain the intrinsic pathways of clotting.",Blood coagulation mechanisms -1,Bleeding Disorders and Transfusion Reactions,Physiology,Major Subject,Blood-1 Module,MCQS
Explain the extrinsic pathways of clotting. Describe the factors involved in preventing clotting of blood under normal homeostatic condition. Explain the mechanism of clot dissolution.,Blood coagulation mechanisms-2,Bleeding Disorders and Transfusion Reactions,Physiology,Major Subject,Blood-1 Module,MCQS
Discuss pathophysiology of hemophilia. Describe the abnormalities of clotting factors in Hemophilia.,"Thromboembolic diseases and Bleeding disorders ",Bleeding Disorders and Transfusion Reactions,Physiology,Major Subject,Blood-1 Module,MCQS
"Perform the steps to determine the BT and CT in blood sample.
Indicate the clinical importance of doing BT and CT.",Bleeding time and Clotting time,Bleeding Disorders and Transfusion Reactions,Physiology,Major Subject,Blood-1 Module,OSPE
"Define agglutinin and agglutinogen.
Describe the role of agglutinin and agglutinogen in blood grouping.
Describe different types of blood groups. Describe the physiological basis of ABO blood grouping.",Blood groups-1,Bleeding Disorders and Transfusion Reactions,Physiology,Major Subject,Blood-1 Module,MCQS
"Interpret the plausible blood
groups (A-B-O) in children of parents with known blood groups.
Interpret the types of agglutinins present in individuals with a specific blood group.
Describe the physiological basis of Rh blood grouping.",Blood groups-2,Bleeding Disorders and Transfusion Reactions,Physiology,Major Subject,Blood-1 Module,MCQS
